Inicio: 2025-09-11 08:00:00; Duracion: 1440 min
1757596332, Unidad: C°,S1: 12.44, S2: 12.44, S3: 12.25, S4: 12.63, S5: 12.50, S6: 12.56, S7: 12.75, S8: 12.63, S9: 12.44, S10: 12.69, S11: 12.19, S12: 12.50, S13: 12.38, S14: 12.50, S15: 12.44, S16: 12.31, S17: 12.25, S18: 12.38, S19: 12.31.
1757596392, Unidad: C°,S1: 12.56, S2: 12.38, S3: 12.38, S4: 12.75, S5: 12.50, S6: 12.56, S7: 12.75, S8: 12.63, S9: 12.44, S10: 12.75, S11: 12.19, S12: 12.56, S13: 12.38, S14: 12.56, S15: 12.44, S16: 12.31, S17: 12.25, S18: 12.38, S19: 12.38.
1757598245, Unidad: C°,S1: 12.38, S2: NA, S3: 12.38, S4: 12.75, S5: NA, S6: 12.56, S7: 12.75, S8: 12.56, S9: 12.44, S10: NA, S11: 12.25, S12: 12.56, S13: 12.38, S14: 12.56, S15: 12.44, S16: 12.38, S17: 12.25, S18: NA, S19: 12.38.
1757598305, Unidad: C°,S1: 12.50, S2: 12.44, S3: 12.44, S4: 12.75, S5: 12.56, S6: 12.63, S7: 12.81, S8: 12.63, S9: 12.44, S10: 12.81, S11: 12.25, S12: 12.56, S13: 12.38, S14: 12.56, S15: 12.44, S16: 12.38, S17: 12.25, S18: 12.38, S19: 12.38.
1757594739, Unidad: C°,S1: 12.44, S2: 12.44, S3: 12.38, S4: 12.75, S5: 12.50, S6: 12.56, S7: 12.81, S8: 12.63, S9: 12.44, S10: 12.81, S11: 12.25, S12: 12.56, S13: 12.44, S14: 12.56, S15: NA, S16: 12.38, S17: 12.31, S18: 12.38, S19: 12.38.
1757594220, Unidad: C°,S1: 12.44, S2: 12.50, S3: 12.44, S4: NA, S5: 12.50, S6: 12.63, S7: 12.81, S8: 12.69, S9: 12.44, S10: 12.81, S11: 12.25, S12: 12.56, S13: 12.44, S14: 12.56, S15: 12.44, S16: 12.38, S17: 12.31, S18: 12.44, S19: 12.44.
1757594280, Unidad: C°,S1: 12.50, S2: 12.50, S3: 12.50, S4: 12.81, S5: 12.56, S6: 12.63, S7: 12.81, S8: 12.69, S9: 12.44, S10: 12.81, S11: 12.25, S12: 12.63, S13: 12.44, S14: 12.56, S15: 12.44, S16: 12.38, S17: 12.31, S18: 12.44, S19: 12.44.
1757594340, Unidad: C°,S1: 12.50, S2: 12.50, S3: 12.44, S4: 12.81, S5: 12.56, S6: 12.69, S7: 12.81, S8: 12.69, S9: 12.50, S10: 12.75, S11: 12.31, S12: 12.56, S13: 12.44, S14: 12.63, S15: 12.50, S16: 12.44, S17: 12.31, S18: 12.44, S19: 12.44.
1757594400, Unidad: C°,S1: 13.50, S2: 13.44, S3: 13.38, S4: 13.75, S5: 13.56, S6: 13.69, S7: 13.69, S8: 13.75, S9: 13.50, S10: 13.56, S11: 13.31, S12: 13.75, S13: 13.50, S14: 13.63, S15: 13.44, S16: 13.44, S17: 13.38, S18: 13.38, S19: 13.25.
1757594460, Unidad: C°,S1: 13.88, S2: 13.88, S3: 13.88, S4: 14.31, S5: 14.19, S6: 14.25, S7: 14.31, S8: 14.44, S9: 14.13, S10: 14.06, S11: 13.94, S12: 14.38, S13: 14.19, S14: 14.31, S15: 14.06, S16: 14.06, S17: 14.06, S18: 14.00, S19: 13.75.
1757594520, Unidad: C°,S1: 14.31, S2: 14.31, S3: 14.31, S4: 14.88, S5: 14.69, S6: 14.81, S7: 14.81, S8: 15.00, S9: 14.69, S10: 14.50, S11: 14.44, S12: 15.00, S13: 14.75, S14: 14.81, S15: 14.56, S16: 14.63, S17: 14.63, S18: 14.50, S19: 14.19.
1757594580, Unidad: C°,S1: 14.69, S2: 14.63, S3: 14.63, S4: 15.13, S5: 15.00, S6: 15.13, S7: 15.19, S8: 15.31, S9: 15.06, S10: 14.69, S11: 14.81, S12: 15.44, S13: 15.19, S14: 15.13, S15: 14.88, S16: 14.94, S17: 14.94, S18: 14.81, S19: 14.50.
