# Inicio: 2025-09-12 08:00:00; Duracion: 1440 min
1757657459, Unidad: C°,S1: 0.69, S2: 0.13, S3: -0.06, S4: 0.56, S5: 0.75, S6: 0.75, S7: 0.44, S8: 0.63, S9: 0.69, S10: 0.19, S11: -0.25, S12: 1.25, S13: 1.00, S14: 0.13, S15: 0.06, S16: 0.13, S17: 1.00, S18: 0.06, S19: 0.00.
1757657519, Unidad: C°,S1: 0.69, S2: 0.13, S3: -0.06, S4: 0.56, S5: 0.69, S6: 0.75, S7: 0.44, S8: 0.63, S9: 0.69, S10: 0.38, S11: -0.25, S12: 1.19, S13: 1.00, S14: 0.13, S15: 0.06, S16: 0.13, S17: 1.00, S18: 0.06, S19: 0.06.
1757657579, Unidad: C°,S1: 0.69, S2: 0.13, S3: -0.06, S4: 0.56, S5: 0.75, S6: 0.69, S7: 0.44, S8: 0.69, S9: 0.69, S10: 0.38, S11: -0.25, S12: 1.19, S13: 1.00, S14: 0.13, S15: 0.13, S16: 0.13, S17: 1.00, S18: 0.06, S19: 0.00.
1757657639, Unidad: C°,S1: 0.75, S2: 0.13, S3: -0.06, S4: 0.56, S5: 0.69, S6: 0.75, S7: 0.44, S8: 0.63, S9: 0.69, S10: 0.44, S11: -0.25, S12: 1.25, S13: 1.00, S14: 0.13, S15: 0.06, S16: 0.13, S17: 1.00, S18: 0.06, S19: 0.00.
1757657699, Unidad: C°,S1: 0.75, S2: 0.13, S3: -0.06, S4: 0.63, S5: 0.75, S6: 0.81, S7: 0.44, S8: 0.63, S9: 0.69, S10: 0.31, S11: -0.25, S12: 1.25, S13: 1.00, S14: 0.13, S15: 0.06, S16: 0.13, S17: 1.00, S18: 0.06, S19: 0.06.
1757657759, Unidad: C°,S1: 0.75, S2: 0.13, S3: 0.06, S4: 0.56, S5: 0.75, S6: 0.75, S7: 0.38, S8: 0.69, S9: 0.69, S10: 0.38, S11: -0.25, S12: 1.25, S13: 1.00, S14: 0.13, S15: 0.06, S16: 0.13, S17: 1.00, S18: 0.06, S19: 0.00.
1757657819, Unidad: C°,S1: 0.69, S2: 0.13, S3: 0.00, S4: 0.56, S5: 0.69, S6: 0.81, S7: 0.44, S8: 0.69, S9: 0.69, S10: 0.38, S11: -0.25, S12: 1.25, S13: 1.06, S14: 0.13, S15: 0.06, S16: 0.13, S17: 1.00, S18: 0.13, S19: 0.06.
1757657879, Unidad: C°,S1: 0.69, S2: 0.13, S3: 0.00, S4: 0.56, S5: 0.69, S6: 0.75, S7: 0.38, S8: 0.69, S9: 0.69, S10: 0.38, S11: -0.25, S12: 1.25, S13: 1.06, S14: 0.13, S15: 0.06, S16: 0.13, S17: 1.00, S18: 0.06, S19: 0.06.
1757657939, Unidad: C°,S1: 0.81, S2: 0.13, S3: 0.06, S4: 0.56, S5: 0.69, S6: 0.75, S7: 0.44, S8: 0.69, S9: 0.69, S10: 0.25, S11: -0.25, S12: 1.25, S13: 1.06, S14: 0.13, S15: 0.13, S16: 0.13, S17: 1.00, S18: 0.13, S19: 0.06.
1757657999, Unidad: C°,S1: 0.75, S2: 0.13, S3: -0.06, S4: 0.56, S5: 0.75, S6: 0.81, S7: 0.44, S8: 0.69, S9: 0.75, S10: 0.25, S11: -0.25, S12: 1.25, S13: 1.06, S14: 0.13, S15: 0.06, S16: 0.13, S17: 1.00, S18: 0.13, S19: 0.06.
